Rank,Symbol,Company Name,"Average market capitalisation from July  01, 2024 to December 31, 2024 (Rs. In lakhs)"
157,PHOENIXLTD,THE PHOENIX MILLS LIMITED,"6,155,871.95"
158,IREDA,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,"6,090,033.27"
159,JSL,JINDAL STAINLESS LIMITED,"6,040,009.29"
160,UNOMINDA,UNO MINDA LIMITED,"6,019,802.09"
161,SCHAEFFLER,SCHAEFFLER INDIA LIMITED,"5,966,730.07"
162,UCOBANK,UCO BANK,"5,826,593.85"
163,THERMAX,THERMAX LIMITED,"5,775,226.92"
164,BALKRISIND,BALKRISHNA INDUSTRIES LIMITED,"5,722,757.26"
165,VOLTAS,VOLTAS LIMITED,"5,604,433.81"
166,MRF,MRF LIMITED,"5,576,134.18"
167,MPHASIS,MPHASIS LIMITED,"5,546,111.60"
168,CONCOR,CONTAINER CORPORATION OF INDIA LIMITED,"5,540,129.76"
169,ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED,"5,537,974.06"
170,LTTS,L&T TECHNOLOGY SERVICES LIMITED,"5,534,670.34"
171,POWERINDIA,HITACHI ENERGY INDIA LIMITED,"5,461,814.73"
172,SAIL,STEEL AUTHORITY OF INDIA LIMITED,"5,378,124.21"
173,TATACOMM,TATA COMMUNICATIONS LIMITED,"5,334,592.72"
174,NYKAA,FSN E COMMERCE VENTURES LIMITED,"5,321,383.20"
175,UBL,UNITED BREWERIES LIMITED,"5,317,244.22"
176,PGHH,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,"5,304,339.74"
177,ASTRAL,ASTRAL LIMITED,"5,213,900.96"
178,IDFCFIRSTB,IDFC FIRST BANK LIMITED,"5,199,949.34"
179,PETRONET,PETRONET LNG LIMITED,"5,178,928.87"
180,BANKINDIA,BANK OF INDIA,"5,133,443.74"
181,HUDCO,HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED,"5,131,476.66"
182,PREMIERENE,PREMIER ENERGIES LIMITED,"5,086,711.17"
183,CENTRALBK,CENTRAL BANK OF INDIA,"5,082,256.00"
184,BSE,BSE LIMITED,"5,067,272.51"
185,SUNDARMFIN,SUNDARAM FINANCE LIMITED,"5,059,705.02"
186,COROMANDEL,COROMANDEL INTERNATIONAL LIMITED,"4,991,358.86"
187,SJVN,SJVN LIMITED,"4,966,643.57"
188,COCHINSHIP,COCHIN SHIPYARD LIMITED,"4,942,390.06"
189,FEDERALBNK,THE FEDERAL BANK  LIMITED,"4,835,094.48"
190,PAGEIND,PAGE INDUSTRIES LIMITED,"4,829,759.56"
191,COFORGE,COFORGE LIMITED,"4,822,634.59"
192,AUBANK,AU SMALL FINANCE BANK LIMITED,"4,763,374.97"
193,VMM,VISHAL MEGA MART LIMITED,"4,751,639.28"
194,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,"4,703,192.83"
195,LLOYDSME,LLOYDS METALS AND ENERGY LIMITED,"4,615,988.77"
196,BDL,BHARAT DYNAMICS LIMITED,"4,595,208.57"
197,KPITTECH,KPIT TECHNOLOGIES LIMITED,"4,493,747.93"
198,TATAELXSI,TATA ELXSI LIMITED,"4,487,719.08"
199,GVT&D,GE VERNOVA T&D INDIA LIMITED,"4,480,054.32"
200,GLENMARK,GLENMARK PHARMACEUTICALS LIMITED,"4,462,877.34"
201,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,"4,450,186.95"
202,ACC,ACC LIMITED,"4,449,177.29"
203,FORTIS,FORTIS HEALTHCARE LIMITED,"4,427,595.83"
204,PAYTM,ONE 97 COMMUNICATIONS LIMITED,"4,410,587.62"
205,AWL,ADANI WILMAR LIMITED,"4,394,331.97"
206,NAM-INDIA,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,"4,334,973.24"
207,HONAUT,HONEYWELL AUTOMATION INDIA LIMITED,"4,294,953.18"
208,OLAELEC,OLA ELECTRIC MOBILITY LIMITED,"4,275,057.32"
209,FLUOROCHEM,GUJARAT FLUOROCHEMICALS LIMITED,"4,272,841.56"
210,MAHABANK,BANK OF MAHARASHTRA,"4,262,886.03"
211,BIOCON,BIOCON LIMITED,"4,220,709.28"
212,UPL,UPL LIMITED,"4,218,614.50"
213,ESCORTS,ESCORTS KUBOTA LIMITED,"4,193,038.41"
214,JUBLFOOD,JUBILANT FOODWORKS LIMITED,"4,174,675.60"
215,APLAPOLLO,APL APOLLO TUBES LIMITED,"4,172,168.82"
216,EXIDEIND,EXIDE INDUSTRIES LIMITED,"4,123,464.72"
217,SONACOMS,SONA BLW PRECISION FORGINGS LIMITED,"4,110,599.94"
218,TATATECH,TATA TECHNOLOGIES LIMITED,"4,094,088.90"
219,LTF,L&T FINANCE LIMITED,"4,047,942.52"
220,GUJGASLTD,GUJARAT GAS LIMITED,"3,982,366.95"
221,360ONE,360 ONE WAM LIMITED,"3,954,952.30"
222,3MINDIA,3M INDIA LIMITED,"3,934,289.54"
223,MFSL,MAX FINANCIAL SERVICES LIMITED,"3,908,646.65"
224,KEI,KEI INDUSTRIES LIMITED,"3,879,771.73"
225,AIAENG,AIA ENGINEERING LIMITED,"3,816,943.05"
226,DEEPAKNTR,DEEPAK NITRITE LIMITED,"3,814,981.05"
227,NATIONALUM,NATIONAL ALUMINIUM COMPANY LIMITED,"3,806,143.86"
228,BLUESTARCO,BLUE STAR LIMITED,"3,798,419.89"
229,NIACL,THE NEW INDIA ASSURANCE COMPANY LIMITED,"3,785,478.27"
230,PSB,PUNJAB & SIND BANK,"3,756,136.28"
231,APARINDS,APAR INDUSTRIES LIMITED,"3,753,438.13"
232,AJANTPHARM,AJANTA PHARMA LIMITED,"3,703,499.10"
233,IPCALAB,IPCA LABORATORIES LIMITED,"3,691,650.08"
234,LICHSGFIN,LIC HOUSING FINANCE LIMITED,"3,672,399.61"
235,NLCINDIA,NLC INDIA LIMITED,"3,665,285.51"
236,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,"3,628,829.85"
237,IRB,IRB INFRASTRUCTURE DEVELOPERS LIMITED,"3,600,792.13"
238,CRISIL,CRISIL LIMITED,"3,553,941.99"
239,GODREJIND,GODREJ INDUSTRIES LIMITED,"3,490,776.21"
240,DALBHARAT,DALMIA BHARAT LIMITED,"3,445,876.08"
241,SYNGENE,SYNGENE INTERNATIONAL LIMITED,"3,429,522.45"
242,ENDURANCE,ENDURANCE TECHNOLOGIES LIMITED,"3,428,202.55"
243,METROBRAND,METRO BRANDS LIMITED,"3,416,411.75"
244,JKCEMENT,JK CEMENT LIMITED,"3,404,776.69"
245,KAYNES,KAYNES TECHNOLOGY INDIA LIMITED,"3,401,077.59"
246,TATAINVEST,TATA INVESTMENT CORPORATION LIMITED,"3,371,955.79"
247,IKS,INVENTURUS KNOWLEDGE SOLUTIONS LIMITED,"3,355,552.78"
248,IGL,INDRAPRASTHA GAS LIMITED,"3,355,256.59"
249,ABFRL,ADITYA BIRLA FASHION AND RETAIL LIMITED,"3,330,485.70"
250,APOLLOTYRE,APOLLO TYRES LIMITED,"3,280,167.82"
251,FIRSTCRY,BRAINBEES SOLUTIONS LIMITED,"3,242,664.80"
252,STARHEALTH,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED,"3,236,598.47"
253,GODIGIT,GO DIGIT GENERAL INSURANCE LIMITED,"3,219,710.57"
254,MRPL,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,"3,192,216.78"
255,EMAMILTD,EMAMI LIMITED,"3,163,705.20"
256,KPRMILL,K.P.R. MILL LIMITED,"3,152,134.14"
257,CHOLAHLDNG,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,"3,124,622.15"
258,SUNTV,SUN TV NETWORK LIMITED,"3,092,882.47"
259,CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,"3,080,990.08"
260,MANYAVAR,VEDANT FASHIONS LIMITED,"3,046,511.28"
261,BANDHANBNK,BANDHAN BANK LIMITED,"3,046,279.89"
262,GLAND,GLAND PHARMA LIMITED,"3,025,911.19"
263,GODFRYPHLP,GODFREY PHILLIPS INDIA LIMITED,"3,016,863.24"
264,MEDANTA,GLOBAL HEALTH LIMITED,"3,000,885.01"
265,MSUMI,MOTHERSON SUMI WIRING INDIA LIMITED,"2,985,419.79"
266,BRIGADE,BRIGADE ENTERPRISES LIMITED,"2,974,849.14"
267,NBCC,NBCC (INDIA) LIMITED,"2,968,845.71"
268,HINDCOPPER,HINDUSTAN COPPER LIMITED,"2,949,216.06"
269,POONAWALLA,POONAWALLA FINCORP LIMITED,"2,908,067.18"
270,PPLPHARMA,PIRAMAL PHARMA LIMITED,"2,898,323.23"
271,SUVENPHAR,SUVEN PHARMACEUTICALS LIMITED,"2,877,839.64"
272,JBCHEPHARM,JB CHEMICALS & PHARMACEUTICALS LIMITED,"2,872,823.59"
273,DELHIVERY,DELHIVERY LIMITED,"2,872,461.95"
274,GILLETTE,GILLETTE INDIA LIMITED,"2,868,133.32"
275,CARBORUNIV,CARBORUNDUM UNIVERSAL LIMITED,"2,854,074.49"
276,ABREL,ADITYA BIRLA REAL ESTATE LIMITED,"2,852,912.45"
277,BASF,BASF INDIA LIMITED,"2,845,185.54"
278,ZFCVINDIA,ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LIMITED,"2,805,203.64"
279,AEGISLOG,AEGIS LOGISTICS LIMITED,"2,797,290.35"
280,ITI,ITI LIMITED,"2,792,755.36"
281,RADICO,RADICO KHAITAN LIMITED,"2,778,576.74"
282,SUNDRMFAST,SUNDRAM FASTENERS LIMITED,"2,766,738.55"
283,TIMKEN,TIMKEN INDIA LIMITED,"2,763,353.02"
284,TATACHEM,TATA CHEMICALS LIMITED,"2,755,147.70"
285,CROMPTON,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,"2,724,168.60"
286,ISEC,ICICI SECURITIES LIMITED,"2,698,411.67"
287,JYOTICNC,JYOTI CNC AUTOMATION LIMITED,"2,698,398.47"
288,SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,"2,663,295.04"
289,LALPATHLAB,DR. LAL PATH LABS LIMITED,"2,639,926.49"
290,INOXWIND,INOX WIND LIMITED,"2,637,940.52"
291,HSCL,HIMADRI SPECIALITY CHEMICAL LIMITED,"2,629,194.19"
292,LAURUSLABS,LAURUS LABS LIMITED,"2,624,778.57"
293,EMCURE,EMCURE PHARMACEUTICALS LIMITED,"2,621,228.11"
294,TVSHLTD,TVS HOLDINGS LIMITED,"2,621,045.95"
295,GRINDWELL,GRINDWELL NORTON LIMITED,"2,619,799.97"
296,AIIL,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED,"2,616,225.14"
297,WHIRLPOOL,WHIRLPOOL OF INDIA LIMITED,"2,608,981.73"
298,SKFINDIA,SKF INDIA LIMITED,"2,607,973.58"
299,ARE&M,AMARA RAJA ENERGY & MOBILITY LIMITED,"2,590,899.81"
300,HATSUN,HATSUN AGRO PRODUCT LIMITED,"2,582,391.42"
301,NH,NARAYANA HRUDAYALAYA LIMITED,"2,574,174.92"
302,NATCOPHARM,NATCO PHARMA LIMITED,"2,548,522.86"
303,KEC,KEC INTERNATIONAL LIMITED,"2,524,167.87"
304,RATNAMANI,RATNAMANI METALS & TUBES LIMITED,"2,496,389.13"
305,PFIZER,PFIZER LIMITED,"2,484,570.37"
306,EIHOTEL,EIH LIMITED,"2,456,877.23"
307,CESC,CESC LIMITED,"2,441,471.38"
308,KIOCL,KIOCL LIMITED,"2,398,525.85"
309,PEL,PIRAMAL ENTERPRISES LIMITED,"2,386,432.70"
310,POLYMED,POLY MEDICURE LIMITED,"2,385,225.98"
311,ANGELONE,ANGEL ONE LIMITED,"2,385,219.05"
312,PNBHOUSING,PNB HOUSING FINANCE LIMITED,"2,350,145.31"
313,IGIL,INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED,"2,318,938.06"
314,CASTROLIND,CASTROL INDIA LIMITED,"2,307,059.70"
315,KANSAINER,KANSAI NEROLAC PAINTS LIMITED,"2,299,426.00"
316,NUVAMA,NUVAMA WEALTH MANAGEMENT LIMITED,"2,276,463.20"
317,IRCON,IRCON INTERNATIONAL LIMITED,"2,273,782.63"
318,JWL,JUPITER WAGONS LIMITED,"2,267,050.14"
319,TRITURBINE,TRIVENI TURBINE LIMITED,"2,263,601.53"
320,SHYAMMETL,SHYAM METALICS AND ENERGY LIMITED,"2,246,971.58"
321,ANANTRAJ,ANANT RAJ LIMITED,"2,235,756.58"
322,FSL,FIRSTSOURCE SOLUTIONS LIMITED,"2,221,267.74"
323,ATUL,ATUL LIMITED,"2,219,576.95"
324,CAMS,COMPUTER AGE MANAGEMENT SERVICES LIMITED,"2,214,143.30"
325,AFFLE,AFFLE (INDIA) LIMITED,"2,210,222.24"
326,TEJASNET,TEJAS NETWORKS LIMITED,"2,194,598.15"
327,FIVESTAR,FIVE-STAR BUSINESS FINANCE LIMITED,"2,188,012.25"
328,APLLTD,ALEMBIC PHARMACEUTICALS LIMITED,"2,177,155.79"
329,ABSLAMC,ADITYA BIRLA SUN LIFE AMC LIMITED,"2,165,984.67"
330,JBMA,JBM AUTO LIMITED,"2,134,111.12"
331,KAJARIACER,KAJARIA CERAMICS LIMITED,"2,129,085.05"
332,DEVYANI,DEVYANI INTERNATIONAL LIMITED,"2,124,895.01"
333,GRSE,GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED,"2,124,743.67"
334,CYIENT,CYIENT LIMITED,"2,094,158.46"
335,GSPL,GUJARAT STATE PETRONET LIMITED,"2,091,439.75"
336,FINCABLES,FINOLEX CABLES LIMITED,"2,091,269.52"
337,ELGIEQUIP,ELGI EQUIPMENTS LIMITED,"2,090,335.64"
338,KIMS,KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED,"2,089,400.10"
339,KPIL,KALPATARU PROJECTS INTERNATIONAL LIMITED,"2,088,716.36"
340,ASTERDM,ASTER DM HEALTHCARE LIMITED,"2,082,555.20"
341,RAMCOCEM,THE RAMCO CEMENTS LIMITED,"2,065,012.58"
342,JINDALSAW,JINDAL SAW LIMITED,"2,059,419.52"
343,BIKAJI,BIKAJI FOODS INTERNATIONAL LIMITED,"2,049,022.43"
344,AARTIIND,AARTI INDUSTRIES LIMITED,"2,048,438.06"
345,CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,"2,036,265.21"
346,CHAMBLFERT,CHAMBAL FERTILIZERS & CHEMICALS LIMITED,"2,017,891.69"
347,VINATIORGA,VINATI ORGANICS LIMITED,"2,012,575.25"
348,SIGNATURE,SIGNATUREGLOBAL (INDIA) LIMITED,"2,008,384.57"
349,SWANENERGY,SWAN ENERGY LIMITED,"1,985,784.17"
350,CONCORDBIO,CONCORD BIOTECH LIMITED,"1,967,827.49"
351,NCC,NCC LIMITED,"1,951,005.89"
352,VGUARD,V-GUARD INDUSTRIES LIMITED,"1,944,698.11"
353,PTCIL,PTC INDUSTRIES LIMITED,"1,938,514.40"
354,SCHNEIDER,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,"1,927,167.16"
355,IIFL,IIFL FINANCE LIMITED,"1,918,302.01"
356,RELAXO,RELAXO FOOTWEARS LIMITED,"1,912,920.20"
357,HFCL,HFCL LIMITED,"1,908,269.12"
358,BLUEDART,BLUE DART EXPRESS LIMITED,"1,896,162.35"
359,CHALET,CHALET HOTELS LIMITED,"1,888,821.56"
360,CELLO,CELLO WORLD LIMITED,"1,888,701.63"
361,AFCONS,AFCONS INFRASTRUCTURE LIMITED,"1,870,717.78"
362,AADHARHFC,AADHAR HOUSING FINANCE LIMITED,"1,859,123.17"
363,WELCORP,WELSPUN CORP LIMITED,"1,857,498.51"
364,TBOTEK,TBO TEK LIMITED,"1,844,644.93"
365,BATAINDIA,BATA INDIA LIMITED,"1,840,652.05"
366,RRKABEL,R R KABEL LIMITED,"1,826,232.81"
367,TRIDENT,TRIDENT LIMITED,"1,823,191.37"
368,SAGILITY,SAGILITY INDIA LIMITED,"1,819,149.93"
